source,buyer,buyer_unit,vendor,listed_company,description,amount,date,award_id,url
usaspending,Department of Defense,Department of the Navy,BOWMAR LLC,,"DATA BOX,CABLE",442022.9,2024-09-03,N0010424PNC52,https://www.usaspending.gov/award/CONT_AWD_N0010424PNC52_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8511024278!VALVE,REGULATING,FL",428856.0,2024-11-18,SPE7L125P1444,https://www.usaspending.gov/award/CONT_AWD_SPE7L125P1444_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,VERTEX MODERNIZATION AND SUSTAINMENT LLC,,"CONVERTER,FREQUENCY",408252.0,2025-08-20,N0010425PSB56,https://www.usaspending.gov/award/CONT_AWD_N0010425PSB56_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,"BALLCO MANUFACTURING COMPANY, INC.",,"PARTS KIT,BALL VALV",348700.0,2025-04-29,N0010425PFC27,https://www.usaspending.gov/award/CONT_AWD_N0010425PFC27_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,PRODUCT PLANNING INC,,ECV SUBASSY,334640.0,2024-03-19,N6660424P0309,https://www.usaspending.gov/award/CONT_AWD_N6660424P0309_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511832931!VALVE,BALL",305394.4,2025-12-23,SPE7M126F1316,https://www.usaspending.gov/award/CONT_AWD_SPE7M126F1316_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,HYDRO-THERM INC,,"8511691871!NOZZLE,FIRE EQUIPME",302100.0,2025-10-14,SPE8E926P0066,https://www.usaspending.gov/award/CONT_AWD_SPE8E926P0066_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,SUPLIAEREOS USA LLC,,"8511076084!NOZZLE,FIRE EQUIPME",294000.0,2024-12-13,SPE8E925P0294,https://www.usaspending.gov/award/CONT_AWD_SPE8E925P0294_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8511382462!VALVE, REGULATING, FL",263174.0,2025-05-15,SPE7M125P6914,https://www.usaspending.gov/award/CONT_AWD_SPE7M125P6914_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"AAR SUPPLY CHAIN, INC",,"8509265438!VALVE,CHECK",262431.52,2022-08-23,SPE7M422P4022,https://www.usaspending.gov/award/CONT_AWD_SPE7M422P4022_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8511897614!VALVE,SAFETY RELIEF",256265.9,2026-02-03,SPE7MC26P1506,https://www.usaspending.gov/award/CONT_AWD_SPE7MC26P1506_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511977576!VALVE,BALL",249153.66,2026-03-26,SPE7MC26V1820,https://www.usaspending.gov/award/CONT_AWD_SPE7MC26V1820_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,"8511624139!VALVE,BALL",244315.52,2025-09-08,SPE7M125F3132,https://www.usaspending.gov/award/CONT_AWD_SPE7M125F3132_9700_SPE7MX22D0021_9700
usaspending,Department of Defense,Defense Logistics Agency,ROSS DEVELOPMENT INC.,,"8509257694!VALVE,CHECK",224577.06,2022-07-25,SPE7MC22P3856,https://www.usaspending.gov/award/CONT_AWD_SPE7MC22P3856_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8510853673!VALVE,ROTARY,SELECT",223974.0,2024-08-28,SPE7MC24P2371,https://www.usaspending.gov/award/CONT_AWD_SPE7MC24P2371_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,OPTIPLEX LLC,,"8511913034!VALVE,SOLENOID",220500.0,2026-02-10,SPE7M226V1868,https://www.usaspending.gov/award/CONT_AWD_SPE7M226V1868_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,STATZ CORP,,"8510388109!NOZZLE,FIRE EQUIPME",218175.0,2024-01-18,SPE8E624CF005,https://www.usaspending.gov/award/CONT_AWD_SPE8E624CF005_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8510321296!VALVE,SAFETY RELIEF",215600.0,2023-12-11,SPE7MC24P0548,https://www.usaspending.gov/award/CONT_AWD_SPE7MC24P0548_9700_-NONE-_-NONE-
usaspending,Department of Defense,Department of the Navy,"BALLCO MANUFACTURING COMPANY, INC.",,"PARTS KIT,BALL VALV",209400.0,2026-05-05,N0010426PZA65,https://www.usaspending.gov/award/CONT_AWD_N0010426PZA65_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8510883289!VALVE,REGULATING,FL",208300.0,2024-09-11,SPE7MC24P2482,https://www.usaspending.gov/award/CONT_AWD_SPE7MC24P2482_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8510772479!VALVE,CHECK",199716.3,2024-07-23,SPE7M524P6239,https://www.usaspending.gov/award/CONT_AWD_SPE7M524P6239_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8511514444!SEAT,VALVE",194787.0,2025-07-18,SPE7M025V8101,https://www.usaspending.gov/award/CONT_AWD_SPE7M025V8101_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Contract Management Agency,"BALLCO MANUFACTURING COMPANY, INC.",,"PARTS KIT,BALL VALV",189500.0,2024-07-08,N0010424PFC99,https://www.usaspending.gov/award/CONT_AWD_N0010424PFC99_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8509809489!NOZZLE,FIRE EQUIPME",186615.0,2023-04-05,SPE8E923F0127,https://www.usaspending.gov/award/CONT_AWD_SPE8E923F0127_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8509556794!NOZZLE,FIRE EQUIPME",186615.0,2022-11-30,SPE8E923F0060,https://www.usaspending.gov/award/CONT_AWD_SPE8E923F0060_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8509528235!NOZZLE,FIRE EQUIPME",186615.0,2022-11-16,SPE8E923F0040,https://www.usaspending.gov/award/CONT_AWD_SPE8E923F0040_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8511121418!SLEEVE ASSEMBLY,VAL",181792.0,2025-01-14,SPE7M425P1836,https://www.usaspending.gov/award/CONT_AWD_SPE7M425P1836_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,"HOOSIER INDUSTRIAL SUPPLY, INC",,"8512076510!VALVE,SOLENOID",179928.0,2026-04-29,SPE7M026V3326,https://www.usaspending.gov/award/CONT_AWD_SPE7M026V3326_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,HUPP & ASSOCIATES INC,,"8508624037!VALVE,GATE",174758.85,2021-10-19,SPE7M422P0300,https://www.usaspending.gov/award/CONT_AWD_SPE7M422P0300_9700_-NONE-_-NONE-
usaspending,Department of Defense,Defense Logistics Agency,EVAC NORTH AMERICA INC,,8511375140!BACKPLATE ASSEMBLY,173506.5,2025-05-12,SPE8E825F0373,https://www.usaspending.gov/award/CONT_AWD_SPE8E825F0373_9700_SPE8E824D0002_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8508967232!NOZZLE,FIRE EQUIPME",169650.0,2022-03-23,SPE8E922F0090,https://www.usaspending.gov/award/CONT_AWD_SPE8E922F0090_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8508686207!NOZZLE,FIRE EQUIPME",169650.0,2021-11-17,SPE8E922F0029,https://www.usaspending.gov/award/CONT_AWD_SPE8E922F0029_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8508553463!NOZZLE,FIRE EQUIPME",169650.0,2021-09-24,SPE8E921F0358,https://www.usaspending.gov/award/CONT_AWD_SPE8E921F0358_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,"ELKHART BRASS MANUFACTURING COMPANY, LLC",,"8508262266!NOZZLE,FIRE EQUIPME",169650.0,2021-06-02,SPE8E921F0250,https://www.usaspending.gov/award/CONT_AWD_SPE8E921F0250_9700_SPE8E920D0007_9700
usaspending,Department of Defense,Defense Logistics Agency,BLUE CORD LOGISTIC STRATEGIES INC,,"8510672450!VALVE,SAFETY RELIEF",167878.0,2024-06-03,SPE7MC24P1747,https://www.usaspending.gov/award/CONT_AWD_SPE7MC24P1747_9700_-NONE-_-NONE-
